id,name,aliases,family,data_shape,shape_label,origin_code,origin,universality,depth_tier,areas,subject_tags,tools,sibling_count,siblings
P011,Strip plot,jitter plot,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,LS;HM;XM,statistics,ggplot2::geom_jitter; seaborn.stripplot,11,Box-and-whisker plot;Violin plot;Raincloud plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P012,Wilkinson dot plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,XM;SH,statistics,ggplot2::geom_dotplot,11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P013,Beeswarm plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,LS;HM,statistics;biological-techniques,ggbeeswarm; seaborn.swarmplot,11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P014,Ridgeline plot,joy plot,F01 Distributions,S26,Physical lab output (no input table),D,Data-driven,universal,deep,XM;EE;SH;LS,statistics;climate,ggridges; joypy,64,Scanning electron micrograph;Western blot;Southern blot;Northern blot;Far-western blot;Dot blot / slot blot;Agarose gel electrophoresis image;SDS-PAGE stained gel;Native PAGE / Blue-native PAGE;Zymogram;EMSA;Pulsed-field gel electrophoresis;Comet assay image;Autoradiograph;Brightfield micrograph;Phase contrast micrograph;DIC micrograph;Immunofluorescence micrograph;Confocal micrograph;Super-resolu
P015,Empirical CDF plot,ECDF plot,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM;HM,statistics,ggplot2::stat_ecdf; seaborn.ecdfplot,44,Histogram;Density plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zirco
P016,Q-Q plot,quantile-quantile plot,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM;LS;HM,statistics,base::qqnorm; statsmodels.qqplot; ggpubr::ggqqplot,44,Histogram;Density plot;Empirical CDF plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detr
P017,P-P plot,probability-probability plot,F01 Distributions,S01,One continuous variable,D,Data-driven,niche,stub,XM,statistics,statsmodels.ProbPlot,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter 
P018,Normal probability plot,,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,XM;PE,statistics;reliability,base::qqnorm; scipy.stats.probplot,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zircon KDE
P019,Stem-and-leaf plot,,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM;SH,statistics;education,base::stem,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zirco
P020,Rug plot,,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM,statistics,ggplot2::geom_rug,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detr
P021,Marginal histogram plot,scatter with marginals,F01 Distributions,S03,Two continuous variables,D,Data-driven,universal,deep,XM;LS,statistics,ggExtra::ggMarginal; seaborn.jointplot,56,Scatter plot;Bubble chart;Van Krevelen diagram;Heat scatter / density scatter;Volcano plot;Pearce discrimination diagram;Bode plot;Pole-zero plot;Reaction coordinate diagram;Arrhenius plot;Van 't Hoff plot;Well log plot;Pollen diagram;Microfossil stratigraphic diagram;Age-depth model plot;Tree-ring chronology plot;Ice core isotope depth profile;Stable isotope cross plot;Keeling plot;Climograph;Flo
P022,Pareto chart,,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,SH;PE,quality-control;operations,qcc; ggQC; matplotlib,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital
P023,Hanging rootogram,,F01 Distributions,S01,One continuous variable,D,Data-driven,niche,stub,XM,statistics,vcd::rootogram; countreg,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter 
P024,Bagplot,bivariate boxplot,F01 Distributions,S03,Two continuous variables,D,Data-driven,niche,stub,XM,statistics,aplpack::bagplot,56,Marginal histogram plot;Scatter plot;Bubble chart;Van Krevelen diagram;Heat scatter / density scatter;Volcano plot;Pearce discrimination diagram;Bode plot;Pole-zero plot;Reaction coordinate diagram;Arrhenius plot;Van 't Hoff plot;Well log plot;Pollen diagram;Microfossil stratigraphic diagram;Age-depth model plot;Tree-ring chronology plot;Ice core isotope depth profile;Stable isotope cross plot;Kee
P025,Spike histogram,,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,XM;HM,statistics,ggplot2; Hmisc,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zi
P026,Quantile dotplot,,F01 Distributions,S24,Posterior or simulation draws,D,Data-driven,domain-signature,standard,XM;SH,statistics;public-policy,ggdist::stat_dots,12,Posterior density plot;Corner plot;Monte Carlo simulation fan;Hypothetical outcome plot;Prior-posterior overlay plot;Markov trace plot;Regularisation path plot;MCMC trace plot;MCMC rank plot;Posterior predictive check plot;Expected value of information plot;Knee plot
P027,Histogram with fitted distribution overlay,,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,XM;PE,statistics,fitdistrplus; ggplot2,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zircon KDE plot;IDF curve;Flo
P028,Cumulative frequency curve,ogive,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,XM;SH,statistics;education,ggplot2::stat_ecdf,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zircon KDE pl
P029,Bar chart,column chart,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,HM;LS;PE;EE;SH;XM,data-science,ggplot2::geom_col; matplotlib.bar; seaborn.barplot,28,Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Pile
P030,Grouped bar chart,multi-set bar chart; clustered bar,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,HM;LS;SH,data-science,ggplot2::geom_col(position=dodge),28,Bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar ch
P031,Stacked bar chart,,F02 Categorical comparison,S06,Parts of a whole,D,Data-driven,universal,deep,LS;SH;EE,data-science;microbiology,ggplot2::geom_col(position=stack),10,100% stacked bar chart;Pie chart;Donut chart;Marimekko chart;Waffle chart;Likert plot;Taxonomic relative abundance bar plot;Nested pie chart;Proportional area chart;Cell type proportion stacked bar
P032,100% stacked bar chart,proportional stacked bar,F02 Categorical comparison,S06,Parts of a whole,D,Data-driven,universal,deep,LS;SH,microbiology;demography,ggplot2::geom_col(position=fill),10,Stacked bar chart;Pie chart;Donut chart;Marimekko chart;Waffle chart;Likert plot;Taxonomic relative abundance bar plot;Nested pie chart;Proportional area chart;Cell type proportion stacked bar
P033,Diverging bar chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,SH;EE,political-science;climate,ggplot2,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar char
P034,Lollipop chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,SH;LS,data-science,ggplot2::geom_segment+geom_point,28,Bar chart;Grouped bar chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar
P035,Cleveland dot plot,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,XM;HM;SH,statistics,ggplot2; lattice::dotplot,28,Bar chart;Grouped bar chart;Lollipop chart;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar cha
P036,Dumbbell plot,DNA chart; connected dot plot,F02 Categorical comparison,S04,Paired or repeated measurements on the same units,D,Data-driven,domain-signature,standard,SH;HM,public-health;economics,ggalt::geom_dumbbell,4,Span chart;Slope graph;Connected scatter plot;Tanglegram
P037,Slope graph,slope chart; bumps chart,F02 Categorical comparison,S04,Paired or repeated measurements on the same units,D,Data-driven,domain-signature,standard,SH;HM,economics;public-health,CGPfunctions::newggslopegraph,4,Span chart;Dumbbell plot;Connected scatter plot;Tanglegram
P038,Bullet graph,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,SH,business-management,plotly; R::bulletgraph,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled b
P039,Radar chart,spider chart; star plot; web chart,F02 Categorical comparison,S11,Many variables per observation (wide / high-dimensional),D,Data-driven,cross-domain,standard,SH;HM;PE,business-management;sports-exercise,fmsb; ggradar; plotly scatterpolar,39,Scatter plot matrix;Parallel coordinates plot;PCA scores plot;Scree plot;PCA biplot;Multidimensional scaling plot;Chernoff faces;Silhouette plot;Elbow plot;Embedding projection plot;t-SNE embedding plot;UMAP embedding plot;Cell-cell communication circle plot;Beta diversity ordination;Loadings plot;Parallel analysis plot;PLS-DA / OPLS-DA scores plot;LDA / discriminant plot;Correspondence analysis b
P040,Nightingale rose chart,polar area diagram; coxcomb,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,HM;SH,public-health;history,ggplot2::coord_polar,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar chart;D
P041,Radial bar chart,circular bar chart,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,SH,data-science,ggplot2::coord_polar,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Spine plot;Tally chart;Wrapped bar chart;Piled bar c
P042,Waterfall chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,SH,finance;business-management,waterfalls; plotly,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar 
P043,Marimekko chart,mekko chart; variable-width bar,F02 Categorical comparison,S06,Parts of a whole,D,Data-driven,domain-signature,standard,SH,marketing;business-management,ggmosaic,10,Stacked bar chart;100% stacked bar chart;Pie chart;Donut chart;Waffle chart;Likert plot;Taxonomic relative abundance bar plot;Nested pie chart;Proportional area chart;Cell type proportion stacked bar
P044,Mosaic plot,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,XM;SH;HM,statistics;sociology,vcd::mosaic; ggmosaic,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled 
P045,Spine plot,spinogram,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,XM,statistics,graphics::spineplot; vcd,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Tally chart;Wrapped bar chart;Piled
P046,Heatmap (categorical matrix),,F02 Categorical comparison,S12,Pairwise matrix,D,Data-driven,universal,deep,LS;HM;XM;SH,data-science;transcriptomics,pheatmap; ComplexHeatmap; seaborn.heatmap,15,Correlogram;Calendar heatmap;Autocorrelation plot;Confusion matrix heatmap;Clustered expression heatmap;Spiral plot;Oncoprint;Mass cytometry (CyTOF) heatmap;Antibiogram heatmap;Brain connectivity matrix;Cohort retention heatmap;Bertin reorderable matrix;Sample-sample distance heatmap;Single-cell dot plot;RFM segmentation heatmap
P047,Bump chart,rank-over-time chart,F02 Categorical comparison,S08,Time series,D,Data-driven,domain-signature,standard,SH,business-management;political-science,ggbump,69,Line chart;Multi-series line chart;Area chart;Stacked area chart;Step chart;Gantt chart;Timeline;Control chart;Recurrence plot;Stream graph;Sparkline;Horizon chart;Cycle plot;Seasonal decomposition plot;Run chart;Moving average overlay chart;Lexis diagram;Marey chart;Fan chart;Epidemic curve;Compartmental model trajectory plot;Age-period-cohort plot;Life table survival plot;Pseudotime trajectory p
P048,Small multiples,trellis plot; facet grid; lattice plot,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,universal,deep,ALL,data-science,ggplot2::facet_wrap; lattice; seaborn.FacetGrid,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar 
P049,Tally chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,SH,education,manual,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Wrapped bar chart;Piled 
P050,Pictogram chart,isotype chart,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,SH;HM,public-health;media-studies,waffle; pywaffle,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar 
P051,Waffle chart,square pie chart,F02 Categorical comparison,S06,Parts of a whole,D,Data-driven,domain-signature,standard,SH;HM,public-health,waffle; pywaffle,10,Stacked bar chart;100% stacked bar chart;Pie chart;Donut chart;Marimekko chart;Likert plot;Taxonomic relative abundance bar plot;Nested pie chart;Proportional area chart;Cell type proportion stacked bar
P052,Span chart,range bar chart,F02 Categorical comparison,S04,Paired or repeated measurements on the same units,D,Data-driven,universal,deep,SH;EE,economics;climate,ggplot2::geom_linerange,4,Dumbbell plot;Slope graph;Connected scatter plot;Tanglegram
P053,Population pyramid,age-sex pyramid,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,SH;HM,demography;public-health,apyramid; pyramid; plotly,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled bar cha
P054,Likert plot,diverging stacked bar,F02 Categorical comparison,S06,Parts of a whole,D,Data-driven,domain-signature,standard,SH;HM,psychology;education,likert; HH::plot.likert; ggstats,10,Stacked bar chart;100% stacked bar chart;Pie chart;Donut chart;Marimekko chart;Waffle chart;Taxonomic relative abundance bar plot;Nested pie chart;Proportional area chart;Cell type proportion stacked bar
P055,Equiplot,equity gap plot,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,HM;SH,public-health;health-econ,equiplot (Stata); ggplot2,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Pil
P056,Wrapped bar chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,SH,data-science,ggplot2,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Piled bar ch
P057,Piled bar chart,,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,niche,stub,SH,data-science,ggplot2,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;Gauge chart;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar 
P058,Gauge chart,speedometer chart; dial,F02 Categorical comparison,S05,One summary value per category,D,Data-driven,domain-signature,standard,SH;HM,business-management,plotly indicator; flexdashboard,28,Bar chart;Grouped bar chart;Lollipop chart;Cleveland dot plot;Mosaic plot;Small multiples;Diverging bar chart;Nightingale rose chart;Waterfall chart;Pictogram chart;Population pyramid;Equiplot;GSEA enrichment plot;Lollipop mutation plot;Ecological niche overlap plot;Mark-recapture survival plot;KPI card / big number tile;Bullet graph;Radial bar chart;Spine plot;Tally chart;Wrapped bar chart;Piled 
