# ============================================================
# SUBJECT TAXONOMY  (5 areas + 1 cross-cutting methods layer)
# Grounded in: Nature subject ontology (nature.com/subjects)
#              Elsevier Journal Finder taxonomy (screenshots)
# ============================================================
AREA|HM|Health & Medicine
TAG|PE|chem-analytical|Analytical chemistry
TAG|PE|electrochemistry|Electrochemistry
TAG|PE|catalysis|Catalysis
TAG|PE|materials|Materials science
TAG|PE|nanoscience|Nanoscience & nanotechnology
TAG|PE|polymers|Polymers & soft matter
TAG|PE|crystallography|Crystallography
TAG|PE|mech-engineering|Mechanical engineering
TAG|PE|civil-engineering|Civil & structural engineering
TAG|PE|chem-engineering|Chemical engineering
TAG|PE|elec-engineering|Electrical & electronic engineering
TAG|PE|control-systems|Control systems & robotics
TAG|PE|signal-processing|Signal processing & communications
TAG|PE|energy|Energy & power
TAG|PE|metrology|Metrology & instrumentation
TAG|PE|reliability|Reliability & quality engineering
#
AREA|EE|Earth, Environment & Space
TAG|EE|geology|Geology & structural geology
TAG|EE|mineralogy-petrology|Mineralogy & petrology
TAG|EE|geochemistry|Geochemistry
TAG|EE|geochronology|Geochronology & isotope geology
TAG|EE|geophysics|Geophysics & seismology
TAG|EE|palaeontology|Palaeontology & stratigraphy
TAG|EE|palaeoclimate|Palaeoclimatology & palaeoecology
TAG|EE|sedimentology|Sedimentology & geomorphology
TAG|EE|climate|Climate science
TAG|EE|atmospheric|Atmospheric science & meteorology
TAG|EE|oceanography|Oceanography & limnology
TAG|EE|hydrology|Hydrology & water resources
TAG|EE|soil-science|Soil science
TAG|EE|environmental-sci|Environmental science & pollution
TAG|EE|natural-hazards|Natural hazards & risk
TAG|EE|remote-sensing|Remote sensing & GIS
TAG|EE|physical-geography|Physical geography
TAG|EE|planetary|Planetary science
TAG|EE|astronomy|Astronomy & astrophysics
TAG|EE|cosmology|Cosmology
TAG|EE|space-physics|Space & solar physics
#
AREA|SH|Social Sciences, Humanities & Economics
TAG|SH|psychology|Psychology & cognitive science
TAG|SH|neuro-cognitive|Cognitive neuroscience
TAG|SH|economics|Economics
TAG|SH|finance|Finance & investment
TAG|SH|econometrics|Econometrics & causal inference
TAG|SH|sociology|Sociology
TAG|SH|demography|Demography & population studies
TAG|SH|political-science|Political science & IR
TAG|SH|public-policy|Public policy & law
TAG|SH|anthropology|Anthropology
TAG|SH|archaeology|Archaeology
TAG|SH|education|Education & pedagogy
TAG|SH|linguistics|Linguistics & language
TAG|SH|human-geography|Human geography & urban studies
TAG|SH|criminology|Criminology
TAG|SH|forensics|Forensic science
TAG|SH|business-management|Business & management
TAG|SH|marketing|Marketing & consumer research
TAG|SH|operations|Operations & supply chain
TAG|SH|history|History
TAG|SH|literature|Literature & textual studies
TAG|SH|media-studies|Cultural & media studies
TAG|SH|philosophy|Philosophy & ethics
TAG|SH|arts-performance|Arts, music & performance
TAG|SH|digital-humanities|Digital humanities
TAG|SH|science-studies|Science & technology studies
#
AREA|XM|Cross-cutting Methods (Maths, Statistics & Computing)
TAG|XM|statistics|Statistics & probability
TAG|XM|bayesian|Bayesian methods
TAG|XM|machine-learning|Machine learning & AI
TAG|XM|deep-learning|Deep learning
TAG|XM|data-science|Data science & analytics
TAG|XM|computer-science|Computer science
TAG|XM|mathematics|Mathematics
TAG|XM|network-science|Network science
TAG|XM|operations-research|Operations research & optimisation
TAG|XM|simulation|Simulation & modelling
TAG|XM|scientometrics|Scientometrics & bibliometrics
TAG|XM|quality-control|Statistical process control
